Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj198,harp,0.92,0.06,0.02,3,0.388,0.957,0,0,0.043,956,388,914,297,NA,NA,1895,1,4,Present,1.386,3,14170,0,Singular,1,TRUE
Object,obj199,hat,0.94,0,0.06,2,0.224,0.979,0,0,0.021,692,147,684,139,NA,NA,1053,1,3,Present,4.234,1,8732,1,Singular,1,TRUE
Object,obj200,hay,0.98,0.02,0,4,0.928,0.796,0.163,0.02,0.02,1277,462,1198,365,1413,2345,2234,1,3,Present,2.773,3,23594,0,Singular,1,FALSE
Object,obj201,heart,1,0,0,1,0,1,0,0,0,720,257,720,257,NA,NA,NA,1,5,Present,5.106,3,7316,0,Singular,1,TRUE
Object,obj202,heel,0.98,0,0.02,3,0.664,0.878,0.082,0,0.041,1020,304,1014,291,1240,NA,692,1,4,Present,3.401,3,14448,0,Singular,1,TRUE
Object,obj203,helicopter,1,0,0,1,0,1,0,0,0,793,168,793,168,NA,NA,NA,4,10,Present,2.833,2,18241,0,Singular,1,TRUE
Object,obj204,helmet,1,0,0,2,0.242,0.96,0.04,0,0,925,288,921,290,1034,NA,NA,2,6,Present,2.639,3,15650,0,Singular,1,TRUE
Object,obj205,highchair,0.94,0.04,0.02,4,0.752,0.872,0.021,0.085,0.021,1234,508,1205,473,710,1757,835,2,9,Present,0,1,19638,0,Complex,1,FALSE
Object,obj206,hinge,0.82,0.12,0.06,5,0.866,0.878,0.024,0,0.098,1388,461,1349,440,1836,NA,1619,1,5,Present,1.609,3,6973,0,Singular,1,FALSE
Object,obj207,hippo,0.94,0.04,0.02,5,1.563,0.553,0.298,0,0.149,1159,308,1133,320,1174,NA,1229,2,5,Present,0.693,3,12429,0,Singular,1,TRUE
Object,obj208,hoe,0.94,0.06,0,5,1.103,0.766,0,0,0.234,1357,518,1346,485,NA,NA,1392,1,3,Present,1.386,3,6124,0,Singular,1,FALSE
Object,obj209,hoof,0.96,0,0.04,4,0.574,0.917,0.021,0.021,0.042,1126,375,1088,323,1183,1724,1653,1,4,Present,2.197,3,13837,0,Singular,1,TRUE
Object,obj210,hook,1,0,0,1,0,1,0,0,0,919,291,919,291,NA,NA,NA,1,4,Present,3.638,3,10144,0,Singular,1,TRUE
Object,obj211,horse,1,0,0,1,0,1,0,0,0,809,225,809,225,NA,NA,NA,1,5,Present,4.89,1,18397,0,Singular,1,TRUE
Object,obj212,hose,0.98,0.02,0,2,0.27,0.959,0.041,0,0,989,215,983,218,1128,NA,NA,1,4,Present,1.609,2,26130,0,Singular,1,TRUE
Object,obj213,house,1,0,0,2,0.141,0.98,0,0,0.02,755,192,745,180,NA,NA,1250,1,5,Present,6.409,1,18069,0,Singular,1,TRUE
Object,obj214,firehydrant,0.96,0.02,0.02,4,1.158,0.708,0.229,0,0.063,1161,577,1155,585,974,NA,1912,4,11,Present,0,3,25793,0,Complex,1,TRUE
Object,obj215,icecreamcone,0.96,0,0.04,3,1.134,0.521,0.479,0,0,785,149,804,150,763,NA,NA,3,12,Absent,0,3,7742,0,Complex,1,TRUE
Object,obj216,igloo,0.98,0.02,0,1,0.029,1,0,0,0,963,340,963,340,NA,NA,NA,2,5,Absent,0.693,3,9673,0,Singular,1,TRUE
